
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( c | u ...) = 0.526568 [ -0.278545 ]
p( h | c ...) = 0.997327 [ -0.001163 ]
p( <sp> | h ...) = 0.767519 [ -0.114911 ]
p( t | <sp> ...) = 0.121286 [ -0.916190 ]
p( o | t ...) = 0.297571 [ -0.526409 ]
p( <sp> | o ...) = 0.801889 [ -0.095886 ]
p( m | <sp> ...) = 0.068106 [ -1.166814 ]
p( e | m ...) = 0.252020 [ -0.598564 ]
sum logprob = -24.8750, per-symbol logprob = -0.7107, ppl = 5.1371

sentence = 'y o u <sp> c a n <sp> c o m e <sp> u p <sp> w i t h <sp> s o m e t h i n g <sp> b e t t e r'
p( y | <s> ...) = 0.058374 [ -1.233781 ]
p( o | y ...) = 0.743863 [ -0.128507 ]
p( u | o ...) = 0.944142 [ -0.024963 ]
p( <sp> | u ...) = 0.641954 [ -0.192496 ]
p( c | <sp> ...) = 0.100118 [ -0.999488 ]
p( a | c ...) = 0.303712 [ -0.517538 ]
p( n | a ...) = 0.561069 [ -0.250984 ]
p( <sp> | n ...) = 0.675601 [ -0.170309 ]
p( c | <sp> ...) = 0.049315 [ -1.307018 ]
p( o | c ...) = 0.395912 [ -0.402402 ]
p( m | o ...) = 0.309485 [ -0.509360 ]
p( e | m ...) = 0.328754 [ -0.483129 ]
p( <sp> | e ...) = 0.431519 [ -0.365000 ]
p( u | <sp> ...) = 0.010978 [ -1.959481 ]
p( p | u ...) = 0.287126 [ -0.541928 ]
p( <sp> | p ...) = 0.069896 [ -1.155547 ]
p( w | <sp> ...) = 0.062584 [ -1.203533 ]
p( i | w ...) = 0.202209 [ -0.694200 ]
p( t | i ...) = 0.529862 [ -0.275837 ]
p( h | t ...) = 0.992513 [ -0.003264 ]
p( <sp> | h ...) = 0.868158 [ -0.061401 ]
p( s | <sp> ...) = 0.049436 [ -1.305955 ]
p( o | s ...) = 0.228595 [ -0.640933 ]
p( m | o ...) = 0.416329 [ -0.380564 ]
p( e | m ...) = 0.998175 [ -0.000793 ]
p( t | e ...) = 0.349263 [ -0.456847 ]
p( h | t ...) = 0.814912 [ -0.088889 ]
p( i | h ...) = 0.999587 [ -0.000180 ]
p( n | i ...) = 0.999587 [ -0.000180 ]
p( g | n ...) = 0.998905 [ -0.000476 ]
p( <sp> | g ...) = 0.742914 [ -0.129061 ]
p( b | <sp> ...) = 0.026350 [ -1.579211 ]
p( e | b ...) = 0.269937 [ -0.568738 ]
p( t | e ...) = 0.084848 [ -1.071357 ]
p( t | t ...) = 0.147402 [ -0.831496 ]
p( e | t ...) = 0.422290 [ -0.374389 ]
p( r | e ...) = 0.290193 [ -0.537313 ]
sum logprob = -20.4465, per-symbol logprob = -0.5526, ppl = 3.5695

sentence = 'w h e r e'
p( w | <s> ...) = 0.104678 [ -0.980146 ]
p( h | w ...) = 0.529405 [ -0.276212 ]
p( e | h ...) = 0.176292 [ -0.753768 ]
p( r | e ...) = 0.453692 [ -0.343239 ]
p( e | r ...) = 0.999087 [ -0.000397 ]
sum logprob = -2.3538, per-symbol logprob = -0.4708, ppl = 2.9563

sentence = 'c o u l d <sp> y o u <sp> r e p e a t <sp> t h a t'
p( c | <s> ...) = 0.024707 [ -1.607183 ]
p( o | c ...) = 0.191562 [ -0.717690 ]
p( u | o ...) = 0.199733 [ -0.699549 ]
p( l | u ...) = 0.526568 [ -0.278545 ]
p( d | l ...) = 0.999087 [ -0.000397 ]
p( <sp> | d ...) = 0.859658 [ -0.065674 ]
p( y | <sp> ...) = 0.050708 [ -1.294923 ]
p( o | y ...) = 0.940563 [ -0.026612 ]
p( u | o ...) = 0.998514 [ -0.000646 ]
p( <sp> | u ...) = 0.744519 [ -0.128124 ]
p( r | <sp> ...) = 0.023986 [ -1.620040 ]
p( e | r ...) = 0.632931 [ -0.198644 ]
p( p | e ...) = 0.072864 [ -1.137486 ]
p( e | p ...) = 0.074974 [ -1.125089 ]
p( a | e ...) = 0.809730 [ -0.091660 ]
p( t | a ...) = 0.983795 [ -0.007095 ]
p( <sp> | t ...) = 0.351942 [ -0.453529 ]
p( t | <sp> ...) = 0.137918 [ -0.860379 ]
p( h | t ...) = 0.768864 [ -0.114151 ]
p( a | h ...) = 0.076917 [ -1.113976 ]
p( t | a ...) = 0.853140 [ -0.068980 ]
sum logprob = -11.6104, per-symbol logprob = -0.5529, ppl = 3.5717

sentence = 'c a n <sp> y o u <sp> t u r n <sp> t h e <sp> t v <sp> o n'
p( c | <s> ...) = 0.024707 [ -1.607183 ]
p( a | c ...) = 0.175309 [ -0.756196 ]
p( n | a ...) = 0.434447 [ -0.362063 ]
p( <sp> | n ...) = 0.674031 [ -0.171320 ]
p( y | <sp> ...) = 0.044293 [ -1.353666 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( t | <sp> ...) = 0.083821 [ -1.076650 ]
p( u | t ...) = 0.006594 [ -2.180843 ]
p( r | u ...) = 0.434447 [ -0.362063 ]
p( n | r ...) = 0.004579 [ -2.339244 ]
p( <sp> | n ...) = 0.138284 [ -0.859229 ]
p( t | <sp> ...) = 0.219167 [ -0.659225 ]
p( h | t ...) = 0.756107 [ -0.121417 ]
p( e | h ...) = 0.731748 [ -0.135639 ]
p( <sp> | e ...) = 0.857012 [ -0.067013 ]
p( t | <sp> ...) = 0.058716 [ -1.231242 ]
p( v | t ...) = 0.002406 [ -2.618642 ]
p( <sp> | v ...) = 0.004519 [ -2.344985 ]
p( o | <sp> ...) = 0.051116 [ -1.291443 ]
p( n | o ...) = 0.279815 [ -0.553128 ]
sum logprob = -20.3366, per-symbol logprob = -0.9244, ppl = 8.4022

sentence = 'i t <sp> h a p p e n s <sp> e v e r y <sp> s o <sp> o f t e n'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( t | i ...) = 0.053334 [ -1.272996 ]
p( <sp> | t ...) = 0.323596 [ -0.489997 ]
p( h | <sp> ...) = 0.037072 [ -1.430954 ]
p( a | h ...) = 0.520798 [ -0.283331 ]
p( p | a ...) = 0.086176 [ -1.064612 ]
p( p | p ...) = 0.996844 [ -0.001373 ]
p( e | p ...) = 0.094543 [ -1.024369 ]
p( n | e ...) = 0.179019 [ -0.747102 ]
p( s | n ...) = 0.168968 [ -0.772194 ]
p( <sp> | s ...) = 0.323105 [ -0.490656 ]
p( e | <sp> ...) = 0.017699 [ -1.752055 ]
p( v | e ...) = 0.249754 [ -0.602488 ]
p( e | v ...) = 0.926433 [ -0.033186 ]
p( r | e ...) = 0.618461 [ -0.208688 ]
p( y | r ...) = 0.831018 [ -0.080390 ]
p( <sp> | y ...) = 0.250295 [ -0.601548 ]
p( s | <sp> ...) = 0.066012 [ -1.180378 ]
p( o | s ...) = 0.213360 [ -0.670886 ]
p( <sp> | o ...) = 0.249754 [ -0.602488 ]
p( o | <sp> ...) = 0.019852 [ -1.702188 ]
p( f | o ...) = 0.297582 [ -0.526394 ]
p( t | f ...) = 0.022630 [ -1.645314 ]
p( e | t ...) = 0.509219 [ -0.293095 ]
p( n | e ...) = 0.983090 [ -0.007407 ]
sum logprob = -18.1142, per-symbol logprob = -0.7246, ppl = 5.3036

sentence = 'a r e <sp> y o u <sp> p i c k i n g <sp> u p <sp> t h e <sp> k i d s'
p( a | <s> ...) = 0.069849 [ -1.155838 ]
p( r | a ...) = 0.101672 [ -0.992798 ]
p( e | r ...) = 0.387053 [ -0.412230 ]
p( <sp> | e ...) = 0.801889 [ -0.095886 ]
p( y | <sp> ...) = 0.194573 [ -0.710917 ]
p( o | y ...) = 0.996238 [ -0.001637 ]
p( u | o ...) = 0.999587 [ -0.000180 ]
p( <sp> | u ...) = 0.857455 [ -0.066789 ]
p( p | <sp> ...) = 0.023651 [ -1.626143 ]
p( i | p ...) = 0.018653 [ -1.729261 ]
p( c | i ...) = 0.263140 [ -0.579814 ]
p( k | c ...) = 0.140339 [ -0.852822 ]
p( i | k ...) = 0.052746 [ -1.277807 ]
p( n | i ...) = 0.884099 [ -0.053499 ]
p( g | n ...) = 0.983795 [ -0.007095 ]
p( <sp> | g ...) = 0.889384 [ -0.050911 ]
p( u | <sp> ...) = 0.008864 [ -2.052357 ]
p( p | u ...) = 0.290193 [ -0.537313 ]
p( <sp> | p ...) = 0.069896 [ -1.155547 ]
p( t | <sp> ...) = 0.179019 [ -0.747102 ]
p( h | t ...) = 0.608558 [ -0.215698 ]
p( e | h ...) = 0.576231 [ -0.239404 ]
p( <sp> | e ...) = 0.713045 [ -0.146883 ]
p( k | <sp> ...) = 0.009529 [ -2.020963 ]
p( i | k ...) = 0.168095 [ -0.774444 ]
p( d | i ...) = 0.020974 [ -1.678308 ]
p( s | d ...) = 0.018937 [ -1.722684 ]
sum logprob = -20.9043, per-symbol logprob = -0.7742, ppl = 5.9461

sentence = 'a r e <sp> y o u <sp> c o m f o r t a b l e'
p( a | <s> ...) = 0.069849 [ -1.155838 ]
p( r | a ...) = 0.101672 [ -0.992798 ]
p( e | r ...) = 0.387053 [ -0.412230 ]
p( <sp> | e ...) = 0.801889 [ -0.095886 ]
p( y | <sp> ...) = 0.194573 [ -0.710917 ]
p( o | y ...) = 0.996238 [ -0.001637 ]
p( u | o ...) = 0.999587 [ -0.000180 ]
p( <sp> | u ...) = 0.857455 [ -0.066789 ]
p( c | <sp> ...) = 0.092310 [ -1.034750 ]
p( o | c ...) = 0.395912 [ -0.402402 ]
p( m | o ...) = 0.309485 [ -0.509360 ]
p( f | m ...) = 0.004917 [ -2.308331 ]
p( o | f ...) = 0.951986 [ -0.021369 ]
p( r | o ...) = 0.998175 [ -0.000793 ]
p( t | r ...) = 0.996238 [ -0.001637 ]
p( a | t ...) = 0.756966 [ -0.120924 ]
p( b | a ...) = 0.998545 [ -0.000632 ]
p( l | b ...) = 0.997073 [ -0.001273 ]
p( e | l ...) = 0.896654 [ -0.047375 ]
sum logprob = -7.8851, per-symbol logprob = -0.4150, ppl = 2.6002

sentence = 'h o w <sp> f a s t <sp> c a n <sp> y o u <sp> d o <sp> i t'
p( h | <s> ...) = 0.053926 [ -1.268202 ]
p( o | h ...) = 0.378755 [ -0.421642 ]
p( w | o ...) = 0.853912 [ -0.068587 ]
p( <sp> | w ...) = 0.846643 [ -0.072299 ]
p( f | <sp> ...) = 0.019848 [ -1.702274 ]
p( a | f ...) = 0.108023 [ -0.966484 ]
p( s | a ...) = 0.056078 [ -1.251209 ]
p( t | s ...) = 0.114623 [ -0.940729 ]
p( <sp> | t ...) = 0.520798 [ -0.283331 ]
p( c | <sp> ...) = 0.033290 [ -1.477692 ]
p( a | c ...) = 0.304950 [ -0.515772 ]
p( n | a ...) = 0.561069 [ -0.250984 ]
p( <sp> | n ...) = 0.675601 [ -0.170309 ]
p( y | <sp> ...) = 0.044355 [ -1.353055 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( d | <sp> ...) = 0.069733 [ -1.156560 ]
p( o | d ...) = 0.470069 [ -0.327839 ]
p( <sp> | o ...) = 0.317166 [ -0.498713 ]
p( i | <sp> ...) = 0.144779 [ -0.839293 ]
p( t | i ...) = 0.190952 [ -0.719077 ]
sum logprob = -14.5295, per-symbol logprob = -0.6604, ppl = 4.5754

sentence = 'd o <sp> y o u <sp> u n d e r s t a n d <sp> m e'
p( d | <s> ...) = 0.033333 [ -1.477122 ]
p( o | d ...) = 0.617095 [ -0.209648 ]
p( <sp> | o ...) = 0.323596 [ -0.489997 ]
p( y | <sp> ...) = 0.067834 [ -1.168554 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( u | <sp> ...) = 0.012523 [ -1.902301 ]
p( n | u ...) = 0.020744 [ -1.683108 ]
p( d | n ...) = 0.366595 [ -0.435813 ]
p( e | d ...) = 0.186928 [ -0.728327 ]
p( r | e ...) = 0.727110 [ -0.138400 ]
p( s | r ...) = 0.479639 [ -0.319085 ]
p( t | s ...) = 0.926822 [ -0.033004 ]
p( a | t ...) = 0.903525 [ -0.044060 ]
p( n | a ...) = 0.983090 [ -0.007407 ]
p( d | n ...) = 0.999097 [ -0.000392 ]
p( <sp> | d ...) = 0.482796 [ -0.316237 ]
p( m | <sp> ...) = 0.040370 [ -1.393936 ]
p( e | m ...) = 0.222077 [ -0.653496 ]
sum logprob = -11.2463, per-symbol logprob = -0.5623, ppl = 3.6502

sentence = 'w h e n <sp> d o <sp> w e <sp> g o'
p( w | <s> ...) = 0.104678 [ -0.980146 ]
p( h | w ...) = 0.529405 [ -0.276212 ]
p( e | h ...) = 0.176292 [ -0.753768 ]
p( n | e ...) = 0.013434 [ -1.871800 ]
p( <sp> | n ...) = 0.279815 [ -0.553128 ]
p( d | <sp> ...) = 0.030445 [ -1.516484 ]
p( o | d ...) = 0.469909 [ -0.327986 ]
p( <sp> | o ...) = 0.317166 [ -0.498713 ]
p( w | <sp> ...) = 0.051766 [ -1.285954 ]
p( e | w ...) = 0.183475 [ -0.736424 ]
p( <sp> | e ...) = 0.273259 [ -0.563426 ]
p( g | <sp> ...) = 0.025460 [ -1.594148 ]
p( o | g ...) = 0.440766 [ -0.355792 ]
sum logprob = -11.3140, per-symbol logprob = -0.8703, ppl = 7.4183

sentence = 'c a n <sp> y o u <sp> h e l p <sp> m e <sp> w r i t e <sp> a <sp> c h e c k'
p( c | <s> ...) = 0.024707 [ -1.607183 ]
p( a | c ...) = 0.175309 [ -0.756196 ]
p( n | a ...) = 0.434447 [ -0.362063 ]
p( <sp> | n ...) = 0.674031 [ -0.171320 ]
p( y | <sp> ...) = 0.044293 [ -1.353666 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( h | <sp> ...) = 0.077707 [ -1.109540 ]
p( e | h ...) = 0.263140 [ -0.579814 ]
p( l | e ...) = 0.187166 [ -0.727774 ]
p( p | l ...) = 0.853140 [ -0.068980 ]
p( <sp> | p ...) = 0.078508 [ -1.105085 ]
p( m | <sp> ...) = 0.042146 [ -1.375244 ]
p( e | m ...) = 0.245457 [ -0.610024 ]
p( <sp> | e ...) = 0.347195 [ -0.459426 ]
p( w | <sp> ...) = 0.051249 [ -1.290318 ]
p( r | w ...) = 0.031809 [ -1.497455 ]
p( i | r ...) = 0.344709 [ -0.462547 ]
p( t | i ...) = 0.965738 [ -0.015141 ]
p( e | t ...) = 0.337996 [ -0.471089 ]
p( <sp> | e ...) = 0.668759 [ -0.174731 ]
p( a | <sp> ...) = 0.093784 [ -1.027869 ]
p( <sp> | a ...) = 0.270857 [ -0.567260 ]
p( c | <sp> ...) = 0.092781 [ -1.032540 ]
p( h | c ...) = 0.123330 [ -0.908932 ]
p( e | h ...) = 0.209701 [ -0.678400 ]
p( c | e ...) = 0.006162 [ -2.210291 ]
p( k | c ...) = 0.078348 [ -1.105970 ]
sum logprob = -21.9743, per-symbol logprob = -0.7577, ppl = 5.7245

sentence = 's e e <sp> y o u <sp> l a t e r'
p( s | <s> ...) = 0.054214 [ -1.265885 ]
p( e | s ...) = 0.089031 [ -1.050460 ]
p( e | e ...) = 0.132297 [ -0.878450 ]
p( <sp> | e ...) = 0.551909 [ -0.258132 ]
p( y | <sp> ...) = 0.033307 [ -1.477464 ]
p( o | y ...) = 0.940563 [ -0.026612 ]
p( u | o ...) = 0.998175 [ -0.000793 ]
p( <sp> | u ...) = 0.685803 [ -0.163801 ]
p( l | <sp> ...) = 0.035089 [ -1.454831 ]
p( a | l ...) = 0.131268 [ -0.881841 ]
p( t | a ...) = 0.174469 [ -0.758281 ]
p( e | t ...) = 0.583673 [ -0.233830 ]
p( r | e ...) = 0.176856 [ -0.752379 ]
sum logprob = -9.2028, per-symbol logprob = -0.7079, ppl = 5.1039

sentence = 'i <sp> m i s s <sp> t a l k i n g <sp> t o <sp> y o u'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( m | <sp> ...) = 0.035568 [ -1.448938 ]
p( i | m ...) = 0.092498 [ -1.033870 ]
p( s | i ...) = 0.200421 [ -0.698056 ]
p( s | s ...) = 0.017752 [ -1.750744 ]
p( <sp> | s ...) = 0.303712 [ -0.517538 ]
p( t | <sp> ...) = 0.142232 [ -0.847002 ]
p( a | t ...) = 0.025935 [ -1.586113 ]
p( l | a ...) = 0.097291 [ -1.011927 ]
p( k | l ...) = 0.070824 [ -1.149818 ]
p( i | k ...) = 0.311308 [ -0.506809 ]
p( n | i ...) = 0.977276 [ -0.009983 ]
p( g | n ...) = 0.801889 [ -0.095886 ]
p( <sp> | g ...) = 0.846643 [ -0.072299 ]
p( t | <sp> ...) = 0.227202 [ -0.643588 ]
p( o | t ...) = 0.491792 [ -0.308218 ]
p( <sp> | o ...) = 0.903525 [ -0.044060 ]
p( y | <sp> ...) = 0.052441 [ -1.280329 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
sum logprob = -13.9795, per-symbol logprob = -0.6657, ppl = 4.6312

sentence = 'w h a t <sp> c o u l d <sp> p o s s i b l y <sp> h a p p e n'
p( w | <s> ...) = 0.104678 [ -0.980146 ]
p( h | w ...) = 0.529405 [ -0.276212 ]
p( a | h ...) = 0.520798 [ -0.283331 ]
p( t | a ...) = 0.999087 [ -0.000397 ]
p( <sp> | t ...) = 0.825693 [ -0.083182 ]
p( c | <sp> ...) = 0.033535 [ -1.474504 ]
p( o | c ...) = 0.398915 [ -0.399119 ]
p( u | o ...) = 0.213727 [ -0.670140 ]
p( l | u ...) = 0.558243 [ -0.253177 ]
p( d | l ...) = 0.999087 [ -0.000397 ]
p( <sp> | d ...) = 0.859658 [ -0.065674 ]
p( p | <sp> ...) = 0.024024 [ -1.619357 ]
p( o | p ...) = 0.135008 [ -0.869640 ]
p( s | o ...) = 0.281108 [ -0.551126 ]
p( s | s ...) = 0.341252 [ -0.466925 ]
p( i | s ...) = 0.926311 [ -0.033243 ]
p( b | i ...) = 0.997352 [ -0.001152 ]
p( l | b ...) = 0.914840 [ -0.038655 ]
p( y | l ...) = 0.800775 [ -0.096490 ]
p( <sp> | y ...) = 0.970199 [ -0.013139 ]
p( h | <sp> ...) = 0.069191 [ -1.159948 ]
p( a | h ...) = 0.564673 [ -0.248203 ]
p( p | a ...) = 0.086621 [ -1.062376 ]
p( p | p ...) = 0.996844 [ -0.001373 ]
p( e | p ...) = 0.094543 [ -1.024369 ]
p( n | e ...) = 0.179019 [ -0.747102 ]
sum logprob = -12.4194, per-symbol logprob = -0.4777, ppl = 3.0038

sentence = 'i <sp> t h i n k <sp> h e <sp> i s <sp> k i n d <sp> o f <sp> c u t e'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( t | <sp> ...) = 0.089109 [ -1.050078 ]
p( h | t ...) = 0.766242 [ -0.115634 ]
p( i | h ...) = 0.768864 [ -0.114151 ]
p( n | i ...) = 0.997822 [ -0.000947 ]
p( k | n ...) = 0.998330 [ -0.000726 ]
p( <sp> | k ...) = 0.272575 [ -0.564514 ]
p( h | <sp> ...) = 0.041048 [ -1.386712 ]
p( e | h ...) = 0.263140 [ -0.579814 ]
p( <sp> | e ...) = 0.184745 [ -0.733427 ]
p( i | <sp> ...) = 0.041018 [ -1.387022 ]
p( s | i ...) = 0.264729 [ -0.577198 ]
p( <sp> | s ...) = 0.865381 [ -0.062793 ]
p( k | <sp> ...) = 0.006193 [ -2.208089 ]
p( i | k ...) = 0.208544 [ -0.680803 ]
p( n | i ...) = 0.484793 [ -0.314444 ]
p( d | n ...) = 0.892381 [ -0.049450 ]
p( <sp> | d ...) = 0.534514 [ -0.272041 ]
p( o | <sp> ...) = 0.074968 [ -1.125122 ]
p( f | o ...) = 0.387800 [ -0.411393 ]
p( <sp> | f ...) = 0.898363 [ -0.046548 ]
p( c | <sp> ...) = 0.037947 [ -1.420818 ]
p( u | c ...) = 0.029532 [ -1.529708 ]
p( t | u ...) = 0.064666 [ -1.189326 ]
p( e | t ...) = 0.060586 [ -1.217629 ]
sum logprob = -17.9634, per-symbol logprob = -0.6909, ppl = 4.9079

sentence = 'i t <sp> t o o k <sp> s o <sp> l o n g'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( t | i ...) = 0.053334 [ -1.272996 ]
p( <sp> | t ...) = 0.323596 [ -0.489997 ]
p( t | <sp> ...) = 0.131081 [ -0.882460 ]
p( o | t ...) = 0.281254 [ -0.550901 ]
p( o | o ...) = 0.039916 [ -1.398849 ]
p( k | o ...) = 0.277338 [ -0.556991 ]
p( <sp> | k ...) = 0.434216 [ -0.362294 ]
p( s | <sp> ...) = 0.058345 [ -1.233996 ]
p( o | s ...) = 0.208544 [ -0.680803 ]
p( <sp> | o ...) = 0.249754 [ -0.602488 ]
p( l | <sp> ...) = 0.023377 [ -1.631215 ]
p( o | l ...) = 0.265189 [ -0.576444 ]
p( n | o ...) = 0.107903 [ -0.966968 ]
p( g | n ...) = 0.059766 [ -1.223543 ]
sum logprob = -13.0601, per-symbol logprob = -0.8707, ppl = 7.4246

sentence = 's o m e t i m e s <sp> i <sp> j u s t <sp> w a n t <sp> t o <sp> s c r e a m'
p( s | <s> ...) = 0.054214 [ -1.265885 ]
p( o | s ...) = 0.480349 [ -0.318443 ]
p( m | o ...) = 0.206564 [ -0.684945 ]
p( e | m ...) = 0.998175 [ -0.000793 ]
p( t | e ...) = 0.349094 [ -0.457058 ]
p( i | t ...) = 0.183052 [ -0.737425 ]
p( m | i ...) = 0.134574 [ -0.871039 ]
p( e | m ...) = 0.921469 [ -0.035519 ]
p( s | e ...) = 0.179700 [ -0.745452 ]
p( <sp> | s ...) = 0.646879 [ -0.189177 ]
p( i | <sp> ...) = 0.109376 [ -0.961080 ]
p( <sp> | i ...) = 0.071852 [ -1.143563 ]
p( j | <sp> ...) = 0.021064 [ -1.676461 ]
p( u | j ...) = 0.652407 [ -0.185482 ]
p( s | u ...) = 0.908450 [ -0.041699 ]
p( t | s ...) = 0.999087 [ -0.000397 ]
p( <sp> | t ...) = 0.973871 [ -0.011499 ]
p( w | <sp> ...) = 0.083465 [ -1.078498 ]
p( a | w ...) = 0.340595 [ -0.467762 ]
p( n | a ...) = 0.155313 [ -0.808793 ]
p( t | n ...) = 0.096328 [ -1.016246 ]
p( <sp> | t ...) = 0.362553 [ -0.440629 ]
p( t | <sp> ...) = 0.166716 [ -0.778023 ]
p( o | t ...) = 0.281254 [ -0.550901 ]
p( <sp> | o ...) = 0.834528 [ -0.078559 ]
p( s | <sp> ...) = 0.099584 [ -1.001812 ]
p( c | s ...) = 0.019741 [ -1.704639 ]
p( r | c ...) = 0.037269 [ -1.428650 ]
p( e | r ...) = 0.378755 [ -0.421642 ]
p( a | e ...) = 0.493456 [ -0.306752 ]
p( m | a ...) = 0.016904 [ -1.772018 ]
sum logprob = -21.1808, per-symbol logprob = -0.6833, ppl = 4.8223

sentence = 'i <sp> a m <sp> g o i n g <sp> h o m e'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( a | <sp> ...) = 0.077105 [ -1.112915 ]
p( m | a ...) = 0.025460 [ -1.594148 ]
p( <sp> | m ...) = 0.229008 [ -0.640150 ]
p( g | <sp> ...) = 0.058307 [ -1.234278 ]
p( o | g ...) = 0.476980 [ -0.321500 ]
p( i | o ...) = 0.168968 [ -0.772194 ]
p( n | i ...) = 0.999212 [ -0.000343 ]
p( g | n ...) = 0.663126 [ -0.178404 ]
p( <sp> | g ...) = 0.892381 [ -0.049450 ]
p( h | <sp> ...) = 0.018064 [ -1.743188 ]
p( o | h ...) = 0.171356 [ -0.766100 ]
p( m | o ...) = 0.026817 [ -1.571597 ]
p( e | m ...) = 0.492941 [ -0.307205 ]
sum logprob = -11.2165, per-symbol logprob = -0.7478, ppl = 5.5945

sentence = 't h a n k s <sp> a <sp> l o t'
p( t | <s> ...) = 0.132116 [ -0.879046 ]
p( h | t ...) = 0.895683 [ -0.047846 ]
p( a | h ...) = 0.165935 [ -0.780061 ]
p( n | a ...) = 0.176292 [ -0.753768 ]
p( k | n ...) = 0.054728 [ -1.261794 ]
p( s | k ...) = 0.080419 [ -1.094644 ]
p( <sp> | s ...) = 0.343382 [ -0.464223 ]
p( a | <sp> ...) = 0.149858 [ -0.824320 ]
p( <sp> | a ...) = 0.321958 [ -0.492201 ]
p( l | <sp> ...) = 0.102978 [ -0.987254 ]
p( o | l ...) = 0.294952 [ -0.530248 ]
p( t | o ...) = 0.087301 [ -1.058981 ]
sum logprob = -9.1744, per-symbol logprob = -0.7645, ppl = 5.8148

sentence = 'i <sp> t h i n k <sp> t h a t <sp> i s <sp> u n n e c e s s a r y'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( t | <sp> ...) = 0.089109 [ -1.050078 ]
p( h | t ...) = 0.766242 [ -0.115634 ]
p( i | h ...) = 0.768864 [ -0.114151 ]
p( n | i ...) = 0.997822 [ -0.000947 ]
p( k | n ...) = 0.998330 [ -0.000726 ]
p( <sp> | k ...) = 0.272575 [ -0.564514 ]
p( t | <sp> ...) = 0.183475 [ -0.736424 ]
p( h | t ...) = 0.568745 [ -0.245083 ]
p( a | h ...) = 0.223049 [ -0.651601 ]
p( t | a ...) = 0.853140 [ -0.068980 ]
p( <sp> | t ...) = 0.728810 [ -0.137386 ]
p( i | <sp> ...) = 0.157725 [ -0.802099 ]
p( s | i ...) = 0.378398 [ -0.422051 ]
p( <sp> | s ...) = 0.874822 [ -0.058080 ]
p( u | <sp> ...) = 0.010859 [ -1.964213 ]
p( n | u ...) = 0.029017 [ -1.537347 ]
p( n | n ...) = 0.048879 [ -1.310877 ]
p( e | n ...) = 0.018130 [ -1.741600 ]
p( c | e ...) = 0.028698 [ -1.542149 ]
p( e | c ...) = 0.077119 [ -1.112841 ]
p( s | e ...) = 0.325207 [ -0.487840 ]
p( s | s ...) = 0.818041 [ -0.087225 ]
p( a | s ...) = 0.922904 [ -0.034843 ]
p( r | a ...) = 0.998570 [ -0.000622 ]
p( y | r ...) = 0.023744 [ -1.624448 ]
sum logprob = -17.3367, per-symbol logprob = -0.6421, ppl = 4.3863

sentence = 't h a t <sp> m a k e s <sp> m e <sp> l a u g h'
p( t | <s> ...) = 0.132116 [ -0.879046 ]
p( h | t ...) = 0.895683 [ -0.047846 ]
p( a | h ...) = 0.165935 [ -0.780061 ]
p( t | a ...) = 0.824427 [ -0.083848 ]
p( <sp> | t ...) = 0.691394 [ -0.160274 ]
p( m | <sp> ...) = 0.043458 [ -1.361926 ]
p( a | m ...) = 0.266547 [ -0.574226 ]
p( k | a ...) = 0.244699 [ -0.611368 ]
p( e | k ...) = 0.775779 [ -0.110262 ]
p( s | e ...) = 0.023952 [ -1.620661 ]
p( <sp> | s ...) = 0.303712 [ -0.517538 ]
p( m | <sp> ...) = 0.032649 [ -1.486130 ]
p( e | m ...) = 0.242007 [ -0.616172 ]
p( <sp> | e ...) = 0.347195 [ -0.459426 ]
p( l | <sp> ...) = 0.018341 [ -1.736583 ]
p( a | l ...) = 0.238735 [ -0.622084 ]
p( u | a ...) = 0.005057 [ -2.296069 ]
